Category,Latitude,Longitude,Street name,Outcome category,Outcome date
robbery,51.473485,-0.093561,On or near Supermarket,Court result unavailable,2023-11
robbery,51.461569,-0.080180,East Dulwich (station),Status update unavailable,2023-09
robbery,51.461569,-0.080180,East Dulwich (station),Status update unavailable,2023-09
robbery,51.485146,-0.082358,On or near Thurlow Street,Investigation complete; no suspect identified,2023-09
robbery,51.468520,-0.064928,On or near Copeland Road,Investigation complete; no suspect identified,2023-07
robbery,51.473447,-0.091791,On or near Wren Road,Investigation complete; no suspect identified,2023-09
robbery,51.462376,-0.089518,On or near Dylways,Investigation complete; no suspect identified,2023-07
robbery,51.477479,-0.098607,On or near Redcar Street,Investigation complete; no suspect identified,2023-08
robbery,51.480737,-0.091588,On or near Caldew Street,Investigation complete; no suspect identified,2023-09
robbery,51.481923,-0.063540,On or near Ethnard Road,Investigation complete; no suspect identified,2023-08
robbery,51.478247,-0.085024,On or near B217,Status update unavailable,2023-09
robbery,51.485778,-0.064990,On or near Culloden Close,Investigation complete; no suspect identified,2023-07
robbery,51.488073,-0.077136,On or near Shorncliffe Road,Investigation complete; no suspect identified,2023-07
robbery,51.479463,-0.089553,On or near Edmund Street,Investigation complete; no suspect identified,2023-07
robbery,51.467303,-0.065873,On or near Further/higher Educational Building,Investigation complete; no suspect identified,2023-08
robbery,51.469827,-0.068430,On or near Rye Lane,Status update unavailable,2023-09
robbery,51.484289,-0.084944,On or near Albany Road,Investigation complete; no suspect identified,2023-08
robbery,51.477836,-0.092890,On or near Broome Way,Investigation complete; no suspect identified,2023-08
robbery,51.476852,-0.069054,On or near Wilmot Close,Investigation complete; no suspect identified,2023-08
robbery,51.481267,-0.064115,On or near Windspoint Drive,Investigation complete; no suspect identified,2023-07
robbery,51.481662,-0.078861,On or near Bibury Close,Investigation complete; no suspect identified,2023-05
robbery,51.461693,-0.087329,On or near Wanley Road,Investigation complete; no suspect identified,2023-09
robbery,51.479295,-0.088652,On or near Sam King Walk,Investigation complete; no suspect identified,2023-07
robbery,51.463669,-0.082741,On or near Dog Kennel Hill,Investigation complete; no suspect identified,2023-07
robbery,51.487468,-0.079179,On or near Mina Road,Investigation complete; no suspect identified,2023-07
robbery,51.473077,-0.083426,On or near Vestry Mews,Investigation complete; no suspect identified,2023-08
robbery,51.480008,-0.094311,On or near Camberwell Road,Investigation complete; no suspect identified,2023-08
robbery,51.477836,-0.092890,On or near Broome Way,Investigation complete; no suspect identified,2023-08
robbery,51.471243,-0.069766,On or near Shopping Area,Status update unavailable,2023-09
robbery,51.464504,-0.090422,On or near Denmark Hill,Investigation complete; no suspect identified,2023-09
robbery,51.474189,-0.094295,On or near Tillings Close,Investigation complete; no suspect identified,2023-09
robbery,51.462507,-0.088188,On or near Domett Close,Investigation complete; no suspect identified,2023-07
robbery,51.472520,-0.085134,On or near Dagmar Road,Status update unavailable,2023-09
robbery,51.483368,-0.088021,On or near Portland Street,Investigation complete; no suspect identified,2023-09
robbery,51.472252,-0.070555,On or near Supermarket,Status update unavailable,2023-09
robbery,51.465936,-0.069127,On or near Anstey Road,Investigation complete; no suspect identified,2023-07
robbery,51.481386,-0.081220,On or near Pearse Street,Status update unavailable,2023-09
robbery,51.464352,-0.071785,On or near Nutbrook Street,Investigation complete; no suspect identified,2023-09
robbery,51.484289,-0.084944,On or near Albany Road,Investigation complete; no suspect identified,2023-05
robbery,51.478375,-0.060551,On or near Albert Way,Investigation complete; no suspect identified,2023-08
robbery,51.478475,-0.080276,On or near Blake's Road,Investigation complete; no suspect identified,2023-09
robbery,51.477468,-0.067156,On or near Leontine Close,Investigation complete; no suspect identified,2023-07
robbery,51.487755,-0.084640,On or near Alsace Road,Investigation complete; no suspect identified,2023-07
robbery,51.480911,-0.079108,On or near Longhope,Investigation complete; no suspect identified,2023-07
robbery,51.484289,-0.084944,On or near Albany Road,Investigation complete; no suspect identified,2023-11
Category,Latitude,Longitude,Street name,Outcome category,Outcome date
robbery,51.457175,0.146136,On or near Arnsberg Way,Investigation complete; no suspect identified,2023-10
robbery,51.459001,0.136275,On or near West Street,Investigation complete; no suspect identified,2023-06
robbery,51.460502,0.137281,On or near Bynon Avenue,Investigation complete; no suspect identified,2023-06
robbery,51.457419,0.142766,On or near Supermarket,Local resolution,2023-07
robbery,51.455520,0.148621,On or near Parking Area,Status update unavailable,2023-09
robbery,51.454817,0.159470,On or near Park Grove,Investigation complete; no suspect identified,2023-07
robbery,51.463918,0.132891,On or near Supermarket,Investigation complete; no suspect identified,2023-09
robbery,51.455806,0.152147,On or near Supermarket,Status update unavailable,2023-09
robbery,51.455706,0.146326,On or near Shopping Area,Investigation complete; no suspect identified,2023-07
Category,Latitude,Longitude,Street name,Outcome category,Outcome date
robbery,51.528070,0.005110,West Ham (dlr),Status update unavailable,2023-09
robbery,51.535379,0.035403,Upton Park (lu Station),Status update unavailable,2023-09
robbery,51.535379,0.035403,Upton Park (lu Station),Status update unavailable,2023-09
robbery,51.528070,0.005110,West Ham (dlr),Status update unavailable,2023-09
robbery,51.539660,0.029298,On or near Upton Park Road,Investigation complete; no suspect identified,2023-06
robbery,51.535798,0.035226,On or near B167,Investigation complete; no suspect identified,2023-06
robbery,51.528036,0.005527,On or near Durban Road,Investigation complete; no suspect identified,2023-09
robbery,51.544610,0.013365,On or near Hamfrith Road,Status update unavailable,2023-09
robbery,51.536335,0.036403,On or near Crescent Road,Investigation complete; no suspect identified,2023-09
robbery,51.524151,0.020752,On or near Whitwell Road,Investigation complete; no suspect identified,2023-10
robbery,51.534550,0.034593,On or near Shopping Area,Status update unavailable,2023-09
robbery,51.528241,0.035437,On or near Haig Road East,Investigation complete; no suspect identified,2023-07
robbery,51.543651,0.014765,On or near Dyson Road,Investigation complete; no suspect identified,2023-08
robbery,51.529533,0.033519,On or near Nile Road,Investigation complete; no suspect identified,2023-09
robbery,51.518929,0.017436,On or near Alexandra Street,Investigation complete; no suspect identified,2023-09
robbery,51.538432,0.022139,On or near Park/open Space,Investigation complete; no suspect identified,2023-08
robbery,51.540025,0.007049,On or near Faringford Road,Investigation complete; no suspect identified,2023-09
robbery,51.532717,0.020454,On or near Fothergill Close,Investigation complete; no suspect identified,2023-09
robbery,51.543651,0.014765,On or near Dyson Road,Status update unavailable,2023-09
robbery,51.528700,0.008771,On or near Springfield Road,Status update unavailable,2023-09
robbery,51.540695,0.002536,On or near Tramway Avenue,Investigation complete; no suspect identified,2023-06
robbery,51.535798,0.035226,On or near B167,Investigation complete; no suspect identified,2023-09
robbery,51.524886,0.034393,On or near Tunmarsh Lane,Awaiting court outcome,2023-06
robbery,51.539453,0.031366,On or near Shopping Area,Status update unavailable,2023-09
robbery,51.532107,0.035984,On or near Selsdon Road,Investigation complete; no suspect identified,2023-06
robbery,51.541720,0.008868,On or near Worland Road,Investigation complete; no suspect identified,2023-09
robbery,51.520201,0.025060,On or near Lincoln Road,Investigation complete; no suspect identified,2023-06
Category,Latitude,Longitude,Street name,Outcome category,Outcome date
robbery,51.603197,-0.192104,On or near Supermarket,Investigation complete; no suspect identified,2023-10
robbery,51.588911,-0.222352,On or near Lodge Road,Investigation complete; no suspect identified,2023-10
robbery,51.603197,-0.192104,On or near Supermarket,Investigation complete; no suspect identified,2023-09
robbery,51.590696,-0.199010,On or near Tillingbourne Gardens,Investigation complete; no suspect identified,2023-08
robbery,51.603197,-0.192104,On or near Supermarket,Investigation complete; no suspect identified,2023-09
robbery,51.599519,-0.192712,On or near Wootton Grove,Investigation complete; no suspect identified,2023-06
Category,Latitude,Longitude,Street name,Outcome category,Outcome date
robbery,51.540518,-0.140800,On or near Supermarket,Investigation complete; no suspect identified,2023-05
robbery,51.531725,-0.115524,On or near Cumming Street,Investigation complete; no suspect identified,2023-07
robbery,51.535316,-0.109521,On or near Dignum Street,Investigation complete; no suspect identified,2023-10
robbery,51.546296,-0.103975,Highbury And Islington (station),Status update unavailable,2023-09
robbery,51.530626,-0.123582,Kings Cross St Pancras (lu Station),Status update unavailable,2023-09
robbery,51.530626,-0.123582,Kings Cross St Pancras (lu Station),Status update unavailable,2023-09
robbery,51.539470,-0.142732,Camden Town (lu Station),Status update unavailable,2023-09
robbery,51.539470,-0.142732,Camden Town (lu Station),Status update unavailable,2023-09
robbery,51.539470,-0.142732,Camden Town (lu Station),Status update unavailable,2023-09
robbery,51.543850,-0.117979,On or near Frederica Street,Investigation complete; no suspect identified,2023-08
robbery,51.531428,-0.126147,On or near Shopping Area,Investigation complete; no suspect identified,2023-06
robbery,51.529849,-0.123588,On or near Belgrove Street,Awaiting court outcome,2023-06
robbery,51.547511,-0.141698,On or near Supermarket,Investigation complete; no suspect identified,2023-06
robbery,51.542899,-0.144064,On or near Hawley Road,Investigation complete; no suspect identified,2023-06
robbery,51.529144,-0.135209,On or near London Euston,Investigation complete; no suspect identified,2023-06
robbery,51.543546,-0.124770,On or near Brandon Road,Investigation complete; no suspect identified,2023-11
robbery,51.536409,-0.104271,On or near St Alban's Place,Investigation complete; no suspect identified,2023-08
robbery,51.534855,-0.138075,On or near Nightclub,Investigation complete; no suspect identified,2023-08
robbery,51.541161,-0.102847,On or near Barnsbury Street,Investigation complete; no suspect identified,2023-08
robbery,51.539690,-0.142983,On or near Sports/recreation Area,Investigation complete; no suspect identified,2023-06
robbery,51.540696,-0.139510,On or near Camden Road,Investigation complete; no suspect identified,2023-06
robbery,51.529276,-0.115322,On or near Parking Area,Investigation complete; no suspect identified,2023-07
robbery,51.543132,-0.125926,On or near Brandon Road,Investigation complete; no suspect identified,2023-06
robbery,51.542108,-0.137823,On or near Rousden Street,Investigation complete; no suspect identified,2023-06
robbery,51.540418,-0.117573,On or near Carnoustie Drive,Investigation complete; no suspect identified,2023-08
robbery,51.553264,-0.126880,On or near Dalmeny Avenue,Investigation complete; no suspect identified,2023-08
robbery,51.544863,-0.117764,On or near The Drive,Investigation complete; no suspect identified,2023-09
robbery,51.546852,-0.104471,On or near Holloway Road,Investigation complete; no suspect identified,2023-05
robbery,51.544863,-0.117764,On or near The Drive,Investigation complete; no suspect identified,2023-08
robbery,51.540219,-0.115836,On or near Thornhill Square,Investigation complete; no suspect identified,2023-10
robbery,51.535936,-0.116806,On or near Edward Square,Status update unavailable,2023-09
robbery,51.545479,-0.105711,On or near Highbury Station Road,Status update unavailable,2023-09
robbery,51.545489,-0.103576,On or near Hampton Court,Investigation complete; no suspect identified,2023-10
robbery,51.533651,-0.106707,On or near Chapel Market,Court result unavailable,2023-11
robbery,51.539690,-0.142983,On or near Sports/recreation Area,Investigation complete; no suspect identified,2023-06
robbery,51.532265,-0.107153,On or near Angel Mews,Investigation complete; no suspect identified,2023-06
robbery,51.533780,-0.123095,On or near London King's Cross,Investigation complete; no suspect identified,2023-09
robbery,51.535412,-0.139740,On or near Symes Mews,Investigation complete; no suspect identified,2023-08
robbery,51.539725,-0.144625,On or near Early Mews,Investigation complete; no suspect identified,2023-06
robbery,51.539690,-0.142983,On or near Sports/recreation Area,Status update unavailable,2023-09
robbery,51.541576,-0.146237,On or near Camden Lock Place,Investigation complete; no suspect identified,2023-06
robbery,51.528238,-0.133674,On or near Parking Area,Investigation complete; no suspect identified,2023-06
robbery,51.533930,-0.130212,On or near Chenies Place,Status update unavailable,2023-09
robbery,51.536322,-0.146667,On or near Prince Albert Road,Investigation complete; no suspect identified,2023-06
robbery,51.540843,-0.146541,On or near Ferry Terminal,Status update unavailable,2023-09
robbery,51.529278,-0.122156,On or near Argyle Square,Investigation complete; no suspect identified,2023-06
robbery,51.547901,-0.124418,On or near New Clock Tower Place,Investigation complete; no suspect identified,2023-05
robbery,51.533651,-0.106707,On or near Chapel Market,Investigation complete; no suspect identified,2023-09
robbery,51.548720,-0.125004,On or near Goodinge Close,Investigation complete; no suspect identified,2023-08
robbery,51.543166,-0.140462,On or near Jeffrey's Street,Investigation complete; no suspect identified,2023-06
robbery,51.534409,-0.131490,On or near Goldington Street,Investigation complete; no suspect identified,2023-09
robbery,51.540098,-0.136938,On or near Royal College Street,Investigation complete; no suspect identified,2023-06
robbery,51.531715,-0.121637,On or near Caledonia Street,Investigation complete; no suspect identified,2023-08
robbery,51.541987,-0.139270,On or near Camden Road,Investigation complete; no suspect identified,2023-06
robbery,51.529849,-0.123588,On or near Belgrove Street,Investigation complete; no suspect identified,2023-06
robbery,51.530183,-0.123070,On or near Crestfield Street,Investigation complete; no suspect identified,2023-08
robbery,51.549619,-0.140271,On or near Frideswide Place,Investigation complete; no suspect identified,2023-06
robbery,51.540595,-0.144307,On or near Theatre/concert Hall,Investigation complete; no suspect identified,2023-06
robbery,51.539725,-0.144625,On or near Early Mews,Investigation complete; no suspect identified,2023-06
robbery,51.531658,-0.112455,On or near Hermes Street,Investigation complete; no suspect identified,2023-06
robbery,51.531715,-0.121637,On or near Caledonia Street,Status update unavailable,2023-09
robbery,51.553521,-0.121590,On or near Keighley Close,Investigation complete; no suspect identified,2023-09
robbery,51.527855,-0.122027,On or near Cromer Street,Status update unavailable,2023-09
robbery,51.530183,-0.123070,On or near Crestfield Street,Investigation complete; no suspect identified,2023-08
robbery,51.548116,-0.132241,On or near Busby Place,Investigation complete; no suspect identified,2023-05
robbery,51.539690,-0.142983,On or near Sports/recreation Area,Investigation complete; no suspect identified,2023-05
robbery,51.535657,-0.140422,On or near Miller Street,Investigation complete; no suspect identified,2023-09
robbery,51.539425,-0.142748,On or near Camden Town,Status update unavailable,2023-09
robbery,51.535412,-0.139740,On or near Symes Mews,Investigation complete; no suspect identified,2023-08
robbery,51.551278,-0.127496,On or near Tansley Close,Investigation complete; no suspect identified,2023-08
robbery,51.531273,-0.120992,On or near Omega Place,Investigation complete; no suspect identified,2023-09
robbery,51.527861,-0.131412,On or near Grafton Place,Status update unavailable,2023-09
robbery,51.537332,-0.142877,On or near Arlington Road,Investigation complete; no suspect identified,2023-08
robbery,51.538136,-0.141993,On or near Camden High Street,Investigation complete; no suspect identified,2023-09
robbery,51.548720,-0.122725,On or near North Road,Status update unavailable,2023-09
robbery,51.545559,-0.142787,On or near Kelly Street,Status update unavailable,2023-09
robbery,51.544361,-0.147235,On or near Harmood Street,Status update unavailable,2023-09
robbery,51.532082,-0.108660,On or near Further/higher Educational Building,Investigation complete; no suspect identified,2023-09
robbery,51.546621,-0.125336,On or near Drovers Way,Investigation complete; no suspect identified,2023-06
robbery,51.530967,-0.131645,On or near Phoenix Road,Investigation complete; no suspect identified,2023-05
robbery,51.531428,-0.126147,On or near Shopping Area,Investigation complete; no suspect identified,2023-07
robbery,51.533758,-0.143729,On or near Park Village East,Investigation complete; no suspect identified,2023-09
robbery,51.534855,-0.138075,On or near Nightclub,Investigation complete; no suspect identified,2023-08
robbery,51.526763,-0.127420,On or near Cartwright Gardens,Investigation complete; no suspect identified,2023-08
robbery,51.534855,-0.138075,On or near Nightclub,Investigation complete; no suspect identified,2023-07
robbery,51.539690,-0.142983,On or near Sports/recreation Area,Investigation complete; no suspect identified,2023-10
robbery,51.551142,-0.125208,On or near Middleton Mews,Investigation complete; no suspect identified,2023-05
robbery,51.548057,-0.117301,On or near Watkinson Road,Investigation complete; no suspect identified,2023-09
robbery,51.534855,-0.138075,On or near Nightclub,Investigation complete; no suspect identified,2023-09
robbery,51.534266,-0.138921,On or near Mornington Crescent,Investigation complete; no suspect identified,2023-09
robbery,51.533578,-0.108815,On or near White Conduit Street,Investigation complete; no suspect identified,2023-07
robbery,51.546745,-0.103956,On or near Nightclub,Investigation complete; no suspect identified,2023-11
